"Time","Processes"
2023-04-03 18:46:00,2629.8
2023-04-03 18:46:20,1875.8
2023-04-03 18:46:40,1968.8
2023-04-03 18:47:00,3992
2023-04-03 18:47:20,4152.8
2023-04-03 18:47:40,1214.4
2023-04-03 18:48:00,2327
2023-04-03 18:48:20,2732.2
2023-04-03 18:48:40,2161
2023-04-03 18:49:00,2200
2023-04-03 18:49:20,3527
2023-04-03 18:49:40,4162.2
2023-04-03 18:50:00,2866.4
2023-04-03 18:50:20,1703.4
2023-04-03 18:50:40,3077.2
2023-04-03 18:51:00,3088.8
2023-04-03 18:51:20,1219.8
2023-04-03 18:51:40,2908
2023-04-03 18:52:00,4252.2
2023-04-03 18:52:20,4148.2
2023-04-03 18:52:40,1229
2023-04-03 18:53:00,2103.4
2023-04-03 18:53:20,2247.4
2023-04-03 18:53:40,1230
2023-04-03 18:54:00,2882.2
2023-04-03 18:54:20,4207.4
2023-04-03 18:54:40,4057
2023-04-03 18:55:00,1224
2023-04-03 18:55:20,2169.8
2023-04-03 18:55:40,2404
2023-04-03 18:56:00,1323.6
2023-04-03 18:56:20,3121
2023-04-03 18:56:40,4197.4
2023-04-03 18:57:00,3992
2023-04-03 18:57:20,1730.2
2023-04-03 18:57:40,2722
2023-04-03 18:58:00,2901.2
2023-04-03 18:58:20,1276.6
2023-04-03 18:58:40,3074.4
2023-04-03 18:59:00,4201
2023-04-03 18:59:20,4101.4
2023-04-03 18:59:40,1264
2023-04-03 19:00:00,2026.6
2023-04-03 19:00:20,3289.8
2023-04-03 19:00:40,3283.6
2023-04-03 19:01:00,1322.8
2023-04-03 19:01:20,2126.6
2023-04-03 19:01:40,3875.6
2023-04-03 19:02:00,4113.8
2023-04-03 19:02:20,2399.6
2023-04-03 19:02:40,1967.6
2023-04-03 19:03:00,3460
2023-04-03 19:03:20,3778.6
2023-04-03 19:03:40,1399
2023-04-03 19:04:00,2045
2023-04-03 19:04:20,3858.6
2023-04-03 19:04:40,4099.8
2023-04-03 19:05:00,2675
2023-04-03 19:05:20,2105.4
2023-04-03 19:05:40,3644.2
2023-04-03 19:06:00,4110.4
2023-04-03 19:06:20,3640.4
2023-04-03 19:06:40,1315.4
2023-04-03 19:07:00,3141.6
2023-04-03 19:07:20,4210.6
2023-04-03 19:07:40,4093.8
2023-04-03 19:08:00,1218.6
2023-04-03 19:08:20,1867.8
2023-04-03 19:08:40,1937
2023-04-03 19:09:00,1537.6
2023-04-03 19:09:20,3124
2023-04-03 19:09:40,4251.8
2023-04-03 19:10:00,3348
2023-04-03 19:10:20,1420.6
2023-04-03 19:10:40,2121.8
2023-04-03 19:11:00,1438
2023-04-03 19:11:20,2149.6
